Ruolo;Nome;Squadra;Anno;Media voto;Media FantaVoto;Quota iniziale;FantaVoto/Quota iniziale;Voto/Quota iniziale;Gol fatti;Gol subiti;Rigori parati;Rigori calciati;Rigori segnati;Rigori sbagliati;Assist;Ammonizioni;Espulsioni;Autogol;Partite a voto;Quota attuale;Differenza tra quote;Id
D;Abate;Milan;01/01/2016;6.06;6.08;9;0.675555556;0.673333333;1;0;0;0;0;0;1;7;0;0;27;10;-1;353
P;Abbiati;Milan;01/01/2016;7;7;1;7;7;0;0;0;0;0;0;0;0;0;0;1;1;0;349
D;Acerbi;Sassuolo;01/01/2016;6.29;6.58;8;0.8225;0.78625;4;0;0;0;0;0;0;3;0;0;36;15;-7;513
A;Acquafresca;Bologna;01/01/2016;5.25;5.25;14;0.375;0.375;0;0;0;0;0;0;0;0;0;0;6;3;11;62
C;Acquah;Torino;01/01/2016;5.98;6.11;5;1.222;1.196;2;0;0;0;0;0;2;9;0;0;29;8;-3;555
D;Adnan;Udinese;01/01/2016;5.85;5.89;6;0.981666667;0.975;1;0;0;0;0;0;1;6;0;0;28;7;-1;575
D;Ajeti;Frosinone;01/01/2016;5.77;5.6;4;1.4;1.4425;1;0;0;0;0;0;0;5;1;1;16;5;-1;765
P;Alastra;Palermo;01/01/2016;6;3;1;3;6;0;6;0;0;0;0;0;0;0;0;2;1;0;654
D;Albertazzi;Verona;01/01/2016;5.75;5.55;1;5.55;5.75;0;0;0;0;0;0;0;4;0;0;10;3;-2;354
D;Albiol;Napoli;01/01/2016;6.15;6.12;9;0.68;0.683333333;1;0;0;0;0;0;1;10;0;0;36;10;-1;388
D;Alex;Milan;01/01/2016;5.86;6.16;7;0.88;0.837142857;3;0;0;0;0;0;1;5;0;0;25;9;-2;355
D;Alex Sandro;Juventus;01/01/2016;6.47;6.76;12;0.563333333;0.539166667;2;0;0;0;0;0;3;5;1;0;22;11;1;662
C;Allan;Napoli;01/01/2016;6.34;6.66;13;0.512307692;0.487692308;3;0;0;0;0;0;4;4;0;0;35;17;-4;397
C;Alvarez R;Sampdoria;01/01/2016;5.85;6.08;12;0.506666667;0.4875;1;0;0;0;0;0;1;2;0;0;13;10;2;775
D;Andelkovic;Palermo;01/01/2016;5.61;5.55;4;1.3875;1.4025;0;0;0;0;0;0;1;3;1;0;23;6;-2;414
D;Ansaldi;Genoa;01/01/2016;6.08;6.17;8;0.77125;0.76;0;0;0;0;0;0;4;4;0;0;24;9;-1;706
D;Antei;Sassuolo;01/01/2016;5.8;5.8;4;1.45;1.45;0;0;0;0;0;0;1;2;0;0;5;2;2;514
D;Antonelli;Milan;01/01/2016;6.04;6.37;10;0.637;0.604;3;0;0;0;0;0;1;2;0;0;28;11;-1;356
D;Ariaudo;Empoli;01/01/2016;5.81;5.81;3;1.936666667;1.936666667;0;0;0;0;0;0;0;0;0;0;9;1;2;515
D;Armero;Udinese;01/01/2016;5.9;6.1;2;3.05;2.95;1;0;0;0;0;0;0;0;0;1;5;3;-1;802
C;Asamoah;Juventus;01/01/2016;6.21;6.29;7;0.898571429;0.887142857;0;0;0;0;0;0;1;1;0;0;11;5;2;295
D;Astori;Fiorentina;01/01/2016;5.98;5.91;8;0.73875;0.7475;0;0;0;0;0;0;0;5;0;0;33;8;0;642
P;Audero;Juventus;01/01/2016;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;761
D;Avelar;Torino;01/01/2016;5.9;5.7;10;0.57;0.59;0;0;0;0;0;0;1;1;0;1;6;2;8;544
A;Babacar;Fiorentina;01/01/2016;5.93;7.04;20;0.352;0.2965;4;0;0;1;1;0;1;2;0;0;18;12;8;183
A;Bacca;Milan;01/01/2016;5.81;7.3;29;0.251724138;0.200344828;16;0;0;2;2;0;2;2;0;0;38;28;1;377
C;Badelj;Fiorentina;01/01/2016;6.06;6.04;5;1.208;1.212;1;0;0;0;0;0;1;7;1;0;27;7;-2;170
C;Badu;Udinese;01/01/2016;6.03;6.33;4;1.5825;1.5075;4;0;0;0;0;0;1;6;0;0;33;10;-6;589
C;Balic;Udinese;01/01/2016;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;813
A;Balogh N.;Palermo;01/01/2016;5;5;2;2.5;2.5;0;0;0;0;0;0;0;0;0;0;4;1;1;783
A;Balotelli;Milan;01/01/2016;5.73;5.63;20;0.2815;0.2865;1;0;0;1;0;1;1;6;0;0;20;9;11;696
P;Bardi;Frosinone;01/01/2016;6.75;6.5;3;2.166666667;2.25;0;3;1;0;0;0;0;1;0;0;2;4;-1;799
C;Barreto;Sampdoria;01/01/2016;5.61;5.59;12;0.465833333;0.4675;0;0;0;0;0;0;1;3;0;0;30;6;6;494
D;Barzagli;Juventus;01/01/2016;6.4;6.47;10;0.647;0.64;1;0;0;0;0;0;0;2;0;0;31;13;-3;285
C;Baselli;Torino;01/01/2016;6.06;6.36;9;0.706666667;0.673333333;4;0;0;0;0;0;1;6;0;0;35;12;-3;556
P;Bassi;Atalanta;01/01/2016;6;3;1;3;6;0;3;0;0;0;0;0;0;0;0;1;1;0;1
D;Basta;Lazio;01/01/2016;5.73;5.61;10;0.561;0.573;0;0;0;0;0;0;0;1;0;1;23;5;5;319
P;Belec;Carpi;01/01/2016;6.15;4.87;1;4.87;6.15;0;41;1;0;0;0;0;1;0;0;30;10;-9;720
D;Bellini;Atalanta;01/01/2016;5.9;5.97;1;5.97;5.9;0;0;0;1;1;0;0;4;0;0;15;3;-2;6
A;Belotti;Torino;01/01/2016;6.06;7.15;22;0.325;0.275454545;8;0;0;4;4;0;3;4;0;0;35;25;-3;441
D;Benalouane;Fiorentina;01/01/2016;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;808
C;Benassi;Torino;01/01/2016;6;6.23;11;0.566363636;0.545454545;3;0;0;0;0;0;1;7;0;0;32;10;1;557
