Nome;Squadra;Media FantaVoto 23/24 (previsione);Quota;Rapporto FantaVoto/Quota;Ruolo;Cluster
Carlos Augusto;Monza;6.552753;17;0.385456057;D;Malus taker
Dimarco;Inter;6.7567244;19;0.355617071;D;Malus taker
Posch;Bologna;6.509731;16;0.406858176;D;Malus taker
Di Lorenzo;Napoli;6.187527;18;0.34375151;D;Malus taker
Zappacosta;Atalanta;6.1913996;15;0.412759972;D;Malus taker
Danilo;Juventus;6.0834394;15;0.405562623;D;Malus taker
Smalling;Roma;6.1962194;15;0.413081296;D;Malus taker
Romagnoli;Lazio;6.3511086;13;0.488546812;D;Malus taker
Hernandez T.;Milan;6.458737;17;0.3799257;D;Malus taker
Ebuehi;Empoli;6.500087;11;0.59091698;D;Malus taker
Mazzocchi;Salernitana;6.631543;12;0.552628597;D;Malus taker
Rrahmani;Napoli;6.0900855;14;0.435006108;D;Malus taker
Zanoli;Sampdoria;5.9837832;4;1.495945811;D;Malus taker
Doig;Verona;6.5071635;11;0.59156032;D;Malus taker
Gosens;Inter;6.508034;9;0.723114914;D;Malus taker
Buongiorno;Torino;6.2879;11;0.57162727;D;Malus taker
Bremer;Juventus;6.356573;13;0.488967162;D;Malus taker
Baschirotto;Lecce;6.223731;10;0.622373104;D;Malus taker
Schuurs;Torino;6.1933985;14;0.442385605;D;Malus taker
Spinazzola;Roma;5.9426274;10;0.594262743;D;Malus taker
Mancini;Roma;5.9867043;11;0.54424585;D;Malus taker
Tomori;Milan;6.117828;13;0.470602146;D;Malus taker
Parisi;Empoli;6.021705;8;0.752713144;D;Malus taker
Olivera;Napoli;6.175308;7;0.88218689;D;Malus taker
Hysaj;Lazio;5.966959;7;0.852422714;D;Malus taker
Biraghi;Fiorentina;6.2853875;10;0.628538752;D;Malus taker
Luperto;Empoli;6.043928;8;0.755491018;D;Malus taker
Toloi;Atalanta;5.9153185;9;0.65725761;D;Malus taker
Bastoni;Inter;6.1354585;13;0.471958344;D;Malus taker
Darmian;Inter;6.0849557;11;0.55317779;D;Malus taker
Augello;Sampdoria;5.8881774;5;1.177635479;D;Malus taker
Maehle;Atalanta;6.0264273;11;0.547857024;D;Malus taker
Casale;Lazio;6.0653663;10;0.606536627;D;Malus taker
Dumfries;Inter;6.2707224;12;0.522560199;D;Malus taker
Scalvini;Atalanta;6.094326;9;0.677147335;D;Malus taker
Perez N.;Udinese;5.964741;9;0.662749026;D;Malus taker
Bijol;Udinese;6.1309714;9;0.681219048;D;Malus taker
Mario Rui;Napoli;6.099617;10;0.6099617;D;Malus taker
Acerbi;Inter;6.0780764;11;0.552552397;D;Malus taker
Faraoni;Verona;6.015875;9;0.66843054;D;Malus taker
Milenkovic;Fiorentina;6.1088476;10;0.610884762;D;Malus taker
Rodriguez R.;Torino;5.9760704;8;0.747008801;D;Malus taker
Kyriakopoulos;Bologna;6.2120886;9;0.690232065;D;Malus taker
Singo;Torino;6.1191015;8;0.764887691;D;Malus taker
Mari';Monza;6.0678306;9;0.674203396;D;Malus taker
Cambiaso;Bologna;5.9100466;5;1.182009315;D;Malus taker
Dodo';Fiorentina;6.0300975;8;0.753762186;D;Malus taker
Masina;Udinese;6.075775;6;1.012629191;D;Malus taker
Izzo;Monza;5.811094;8;0.726386726;D;Malus taker
Calabria;Milan;6.053871;9;0.672652351;D;Malus taker
Pirola;Salernitana;5.837907;5;1.167581367;D;Malus taker
Caldirola;Monza;5.9295444;7;0.847077778;D;Malus taker
Juan Jesus;Napoli;6.118372;5;1.223674393;D;Malus taker
Bonucci;Juventus;6.296218;4;1.57405448;D;Malus taker
De Vrij;Inter;5.9481435;6;0.991357247;D;Malus taker
Djimsiti;Atalanta;5.9403157;7;0.848616532;D;Malus taker
Marusic;Lazio;5.898524;7;0.842646258;D;Malus taker
Djidji;Torino;5.800259;6;0.966709852;D;Malus taker
Ibanez;Roma;5.853353;7;0.836193289;D;Malus taker
Kalulu;Milan;5.962469;7;0.8517813;D;Malus taker
Vojvoda;Torino;5.94246;6;0.99041001;D;Malus taker
Llorente D.;Roma;6.195345;6;1.032557487;D;Malus taker
Martinez Quarta;Fiorentina;5.973388;6;0.995564699;D;Malus taker
Gendrey;Lecce;6.1368585;6;1.022809744;D;Malus taker
Hien;Verona;5.8247714;8;0.728096426;D;Malus taker
Patric;Lazio;6.00044;5;1.200088024;D;Malus taker
Gyomber;Salernitana;5.8272357;6;0.97120595;D;Malus taker
Rogerio;Sassuolo;5.724664;6;0.954110702;D;Malus taker
Demiral;Atalanta;6.0342255;8;0.754278183;D;Malus taker
Zortea;Sassuolo;5.859353;3;1.953117688;D;Malus taker
Vasquez;Cremonese;5.7293067;4;1.432326674;D;Malus taker
Bradaric;Salernitana;5.839373;7;0.834196159;D;Malus taker
Ehizibue;Udinese;5.8227468;5;1.164549351;D;Malus taker
Thiaw;Milan;5.89839;10;0.589838982;D;Malus taker
